ra,dec,kepmag,teff,logg,feh,radius,mass,dens
291.3909,48.065609,15.173,5400,4.579,-0.06,0.801,0.9,2.449
297.709351,48.080853,9.174,4777,4.59,0.32,0.765,0.83,2.611
291.934235,48.141651,15.347,5850,4.426,0.14,1.04,1.05,1.315
282.46051,48.257118,14.262,5402,4.452,-0.24,0.865,0.77,1.683
290.676147,48.294289,15.587,5576,4.503,-0.36,0.829,0.8,1.974
293.230225,48.281368,15.375,5910,4.505,-0.02,0.94,1.03,1.75
293.282196,48.2859,12.183,4995,3.331,-0.07,4.16,1.35,0.0265
296.286133,48.22467,15.714,6046,4.486,-0.08,0.972,1.05,1.615
296.83725,48.239944,13.303,5640,4.236,0.34,1.291,1.05,0.6851
297.028259,48.208611,12.487,5851,4.192,0.27,1.411,1.14,0.5806
297.961548,48.244362,13.338,5497,4.437,0.02,0.941,0.88,1.493
283.255493,48.355232,13.77,5576,4.065,0.3,1.593,1.07,0.3745
286.999481,48.37579,15.841,5126,4.609,-0.12,0.742,0.83,2.852
294.121429,48.349522,13.738,4599,4.62,0.1,0.7,0.75,3.059
297.277985,48.320332,12.848,5611,4.144,0.16,1.4,0.99,0.5109
284.786194,48.423229,8.769,6104,4.293,-0.2,1.225,1.08,0.8219
290.92746,48.44355,14.775,5800,4.404,-0.08,1.012,0.95,1.285
293.351715,48.444641,14.531,5627,4.567,-0.24,0.808,0.88,2.353
295.118896,48.481281,13.203,5794,4.263,0.07,1.225,1,0.7692
283.20697,48.580502,15.017,5616,4.394,-0.02,0.999,0.9,1.275
285.268585,48.560009,12.394,5538,4.51,0,0.879,0.91,1.893
285.718536,48.505859,15.082,5588,4.563,-0.3,0.796,0.85,2.36
295.288696,48.59972,14.201,5968,4.534,-0.26,0.881,0.97,1.995
298.624878,48.57745,14.256,5523,4.437,0.02,0.946,0.89,1.482
287.32663,48.673431,12.872,5780,4.421,-0.2,0.966,0.9,1.404
289.858887,48.693851,15.629,5177,4.578,-0.22,0.746,0.77,2.609
292.929138,48.60281,12.935,5869,4.024,-0.16,1.626,1.02,0.3342
282.394623,48.75914,13.652,6038,4.285,-0.16,1.19,0.99,0.8321
283.209167,48.777641,14.232,5618,4.46,-0.22,0.897,0.85,1.652
298.294952,48.775459,14.167,5726,4.123,0.21,1.483,1.07,0.46
283.039795,48.825359,15.415,4464,4.665,-0.24,0.623,0.65,3.806
293.160156,48.881191,14.701,5413,4.59,-0.28,0.759,0.82,2.64
296.132812,48.977402,11.921,5593,4.45,0.02,0.945,0.92,1.533
284.566895,49.01255,15.142,4243,4.632,-0.12,0.629,0.62,3.499
286.752777,49.064911,14.139,4984,4.657,-0.46,0.65,0.7,3.593
291.032318,49.040272,9.997,5793,4.282,0.12,1.243,1.08,0.7903
296.852051,49.084438,14.842,6210,4.45,-0.1,1.033,1.09,1.397
295.626587,49.130428,14.651,6011,4.429,-0.04,1.03,1.03,1.336
296.200592,49.140121,13.758,5514,4.459,0.36,0.978,1,1.511
283.982971,49.23299,14.271,5814,4.523,-0.18,0.881,0.94,1.946
291.250183,49.231834,11.866,5911,4.045,-0.2,1.626,1.07,0.3508
291.256195,49.258949,14.881,6517,4.382,-0.14,1.159,1.18,1.069
284.433502,49.305161,13.804,5970,4.317,0.1,1.2,1.09,0.8887
286.808472,49.316399,11.338,5850,4.455,-0.15,0.95,0.94,1.53
289.199585,49.305721,14.513,6092,4.471,-0.06,0.998,1.07,1.522
286.540009,49.437328,15.921,3611,4.842,-0.18,0.415,0.44,8.6
289.434631,49.4734,14.835,5866,4.507,-0.18,0.903,0.96,1.827
294.218933,49.479221,13.438,5828,4.09,-0.05,1.548,1.08,0.4096
298.067688,49.412601,13.77,5857,4.204,-0.04,1.305,0.99,0.6293
284.739044,49.5984,12.324,5923,4.377,-0.14,1.054,0.97,1.161
287.605591,49.523258,12.231,4905,4.597,0.06,0.743,0.8,2.73
289.226166,49.548199,11.582,5578,4.518,0.04,0.886,0.94,1.911
292.808655,49.579441,13.848,5831,4.267,0.1,1.238,1.03,0.767
286.036346,49.61451,12.521,5475,4.426,0.34,1.003,0.98,1.364
286.471466,49.649021,14.122,5191,4.53,0.08,0.826,0.84,2.106
295.57135,49.774578,14.35,5735,4.356,-0.2,1.028,0.88,1.135
289.780518,49.89653,14.534,5688,4.415,-0.12,0.971,0.9,1.377
289.835419,49.82563,15.009,5749,4.404,-0.18,0.982,0.89,1.325
286.738037,49.97575,15.095,4117,4.659,0.04,0.615,0.63,3.807
288.610535,49.968632,15.891,4907,4.599,0.04,0.739,0.79,2.755
296.479767,49.937679,14.669,6046,4.486,-0.08,0.972,1.05,1.615
297.292419,49.981628,12.879,4852,4.612,-0.02,0.718,0.77,2.929
286.243439,50.040379,13.438,5953,4.175,0.08,1.415,1.09,0.543
288.100861,50.033718,10.421,6225,4.138,0,1.584,1.26,0.441
296.151398,50.09581,14.707,5324,4.597,-0.18,0.761,0.84,2.682
285.615326,50.13575,12.211,5781,4.105,0.09,1.533,1.09,0.4269
285.679382,50.241299,10.961,5627,4.342,-0.15,1.056,0.9,1.068
294.33847,50.33654,15.212,6308,4.353,-0.08,1.153,1.09,1.001
289.388,50.59705,14.514,5783,4.543,-0.28,0.842,0.9,2.133
289.830109,50.586239,14.896,6215,4.397,0.14,1.145,1.2,1.121
293.973358,50.53191,15.385,4059,4.702,-0.26,0.555,0.56,4.654
295.22644,50.558979,11.811,6004,4.304,-0.38,1.12,0.92,0.9072
295.466583,50.517525,6.095,5811,4.358,0.04,1.092,0.99,1.072
296.301971,50.672321,14.79,6426,4.373,-0.12,1.154,1.15,1.049
290.082764,50.86348,13.312,6115,4.249,-0.04,1.291,1.08,0.7046
287.997894,50.944328,13.461,4728,4.613,0.04,0.71,0.76,2.967
288.495819,51.08194,14.258,4494,4.644,-0.04,0.659,0.7,3.432
290.621826,51.057301,13.007,4938,3.45,0,3.324,1.14,0.04356
295.486511,51.0135,11.684,6215,4.168,0.28,1.57,1.35,0.4781
288.51062,51.162472,15.52,4717,4.737,-1.44,0.519,0.54,5.393
295.417877,51.184761,13.005,6438,4.235,0.44,1.497,1.4,0.5889
295.816162,51.121738,15.367,5841,4.52,0.07,0.931,1.05,1.828
296.366516,51.319519,15.339,5354,4.587,-0.08,0.788,0.88,2.542
289.075714,51.757439,11.762,4452,4.649,-0.3,0.623,0.63,3.674
289.763611,51.962601,12.62,5725,4.506,0,0.913,0.97,1.806
